task_id,task,split,scene,gt_action_length,horizon,method,semantic_sr,semantic_gcr,official_sr,official_gcr,exec,generation_calls,verification_calls,repair_calls,total_calls,prompt_tokens,completion_tokens,total_tokens,planning_latency,verification_latency,total_llm_latency,number_of_atomic_tasks,atomic_tasks_attempted,retry_count,early_stop_count,online_done,error_type
env1::put_the_soap_in_the_bathroomcabinet,put the soap in the bathroomcabinet,env1,1,6,Medium,HPAF-Full,1,1.0,1,1.0,1.0,2,1,0,3,2821,191,3012,8.118449812000108,2.805040932000338,10.923490744000446,1,1,0,0,True,
env1::throw_away_plum,throw away plum,env1,1,6,Medium,ProgPrompt,1,1.0,1,1.0,1.0,1,8,0,9,4276,708,4984,6.516961965999144,28.74281064800016,35.2597726139993,0,0,0,0,,
env1::throw_away_plum,throw away plum,env1,1,6,Medium,HPAF-Flat,0,0.0,0,0.6666666666666667,0.75,1,1,0,2,1939,165,2104,3.9849876990001576,3.392874510999718,7.377862209999876,0,0,0,0,False,precondition_failure
env1::throw_away_plum,throw away plum,env1,1,6,Medium,HPAF-Full,1,1.0,1,1.0,0.8333333333333334,2,2,1,5,5257,295,5552,10.150352428000588,5.873056380999515,16.023408809000102,1,1,1,0,True,precondition_failure
env1::bring_my_book_to_the_sofa,bring my book to the sofa,env1,1,4,Short,ProgPrompt,0,0.0,0,0.75,1.0,1,4,0,5,3068,466,3534,3.707147203999739,28.705351239000265,32.412498443000004,0,0,0,0,,
env1::bring_my_book_to_the_sofa,bring my book to the sofa,env1,1,4,Short,HPAF-Flat,1,1.0,0,0.875,1.0,1,1,0,2,1847,130,1977,4.2019298889999845,4.51520125099978,8.717131139999765,0,0,0,0,True,
env1::bring_my_book_to_the_sofa,bring my book to the sofa,env1,1,4,Short,HPAF-Full,1,1.0,0,0.875,1.0,2,1,0,3,2767,163,2930,9.556602962999023,2.7152997579996736,12.271902720998696,1,1,0,0,True,
env1::put_chicken_in_the_fridge,put chicken in the fridge,env1,1,6,Medium,ProgPrompt,1,1.0,1,1.0,1.0,1,8,0,9,4263,578,4841,5.08858780599985,19.202891602001728,24.291479408001578,0,0,0,0,,
env1::put_chicken_in_the_fridge,put chicken in the fridge,env1,1,6,Medium,HPAF-Flat,0,0.0,0,0.4,0.4,1,1,0,2,2532,172,2704,4.988511924000704,4.2251600339996,9.213671958000305,0,0,0,0,False,precondition_failure
env1::put_chicken_in_the_fridge,put chicken in the fridge,env1,1,6,Medium,HPAF-Full,1,1.0,1,1.0,1.0,2,1,0,3,2822,167,2989,5.608317280999472,2.7061352290002105,8.314452509999683,1,1,0,0,True,
env1::bring_coffeepot_and_peach_to_the_coffee_table,bring coffeepot and peach to the coffee table,env1,1,7,Medium,ProgPrompt,0,0.5,0,0.8333333333333334,0.9333333333333333,1,6,0,7,3697,874,4571,6.594031662000816,28.655954966000536,35.24998662800135,0,0,0,0,,precondition_failure
env1::bring_coffeepot_and_peach_to_the_coffee_table,bring coffeepot and peach to the coffee table,env1,1,7,Medium,HPAF-Flat,1,1.0,0,0.8333333333333334,1.0,1,1,0,2,2343,239,2582,4.4455412099996465,3.4619369379997806,7.907478147999427,0,0,0,0,False,
env1::bring_coffeepot_and_peach_to_the_coffee_table,bring coffeepot and peach to the coffee table,env1,1,7,Medium,HPAF-Full,1,1.0,0,0.8333333333333334,1.0,3,2,0,5,4859,363,5222,8.837822284999675,5.342398942000727,14.180221227000402,2,2,0,0,True,
env1::microwave_chicken,microwave chicken,env1,1,13,Long,ProgPrompt,1,1.0,1,1.0,0.875,1,18,0,19,7467,3118,10585,9.879961122000168,125.25491995399989,135.13488107600006,0,0,0,0,,precondition_failure
env1::microwave_chicken,microwave chicken,env1,1,13,Long,HPAF-Flat,0,0.0,0,0.6666666666666667,0.8,1,1,0,2,2247,227,2474,6.679598433999672,3.904990472999998,10.58458890699967,0,0,0,0,False,precondition_failure
env1::microwave_chicken,microwave chicken,env1,1,13,Long,HPAF-Full,0,0.0,0,0.41666666666666663,0.625,2,2,1,5,5683,385,6068,10.536914559000252,8.594514694999816,19.131429254000068,2,1,1,1,False,atomic_online_verification_failure
env2::open_the_curtains,open the curtains,env2,2,2,Short,ProgPrompt,1,1.0,1,1.0,1.0,1,2,0,3,2465,157,2622,3.968262089999371,5.104882046000057,9.073144135999428,0,0,0,0,,
env2::open_the_curtains,open the curtains,env2,2,2,Short,HPAF-Flat,1,1.0,1,1.0,1.0,1,1,0,2,1610,95,1705,2.5633244330001617,3.031137996000325,5.594462429000487,0,0,0,0,True,
env2::open_the_curtains,open the curtains,env2,2,2,Short,HPAF-Full,1,1.0,1,1.0,1.0,2,1,0,3,2500,120,2620,3.0907698720002372,3.1492799400002696,6.240049812000507,1,1,0,0,True,
env2::turn_on_tv,turn on tv,env2,2,2,Short,ProgPrompt,1,1.0,1,1.0,1.0,1,2,0,3,2478,739,3217,4.432444680999652,25.499985765999554,29.932430446999206,0,0,0,0,,
env2::turn_on_tv,turn on tv,env2,2,2,Short,HPAF-Flat,1,1.0,1,1.0,1.0,1,1,0,2,1748,111,1859,3.314068516999214,7.997121415000038,11.311189931999252,0,0,0,0,True,
env2::turn_on_tv,turn on tv,env2,2,2,Short,HPAF-Full,1,1.0,1,1.0,1.0,2,1,0,3,2577,114,2691,12.112186364999616,2.225482708000527,14.337669073000143,1,1,0,0,True,
env2::put_the_soap_in_the_bathroomcabinet,put the soap in the bathroomcabinet,env2,2,6,Medium,ProgPrompt,1,1.0,1,1.0,0.9,1,8,0,9,4303,830,5133,6.291767286999857,35.63588102400172,41.927648311001576,0,0,0,0,,precondition_failure
env2::put_the_soap_in_the_bathroomcabinet,put the soap in the bathroomcabinet,env2,2,6,Medium,HPAF-Flat,1,1.0,1,1.0,1.0,1,1,0,2,2077,168,2245,3.7512749590005114,3.407430993000162,7.158705952000673,0,0,0,0,True,
env2::put_the_soap_in_the_bathroomcabinet,put the soap in the bathroomcabinet,env2,2,6,Medium,HPAF-Full,1,1.0,1,1.0,1.0,2,1,0,3,2951,214,3165,5.62789988699933,4.014390219999768,9.642290106999098,1,1,0,0,True,
env2::throw_away_bananas,throw away bananas,env2,2,6,Medium,ProgPrompt,1,1.0,1,1.0,0.9090909090909091,1,8,0,9,4298,793,5091,5.783144202000585,41.677500406001855,47.46064460800244,0,0,0,0,,precondition_failure
env2::throw_away_bananas,throw away bananas,env2,2,6,Medium,HPAF-Flat,0,0.0,0,0.625,0.75,1,1,0,2,2032,166,2198,4.4391369269997085,3.0160214269999415,7.45515835399965,0,0,0,0,False,precondition_failure
env2::throw_away_bananas,throw away bananas,env2,2,6,Medium,HPAF-Full,1,1.0,1,1.0,0.8333333333333334,2,2,1,5,5338,292,5630,8.18652475700037,5.068849876000058,13.255374633000429,1,1,1,0,True,precondition_failure
env2::bring_my_book_to_the_sofa,bring my book to the sofa,env2,2,4,Short,ProgPrompt,0,0.0,0,0.875,1.0,1,4,0,5,3071,509,3580,3.986623409999993,19.99300824099919,23.97963165099918,0,0,0,0,,
env2::bring_my_book_to_the_sofa,bring my book to the sofa,env2,2,4,Short,HPAF-Flat,1,1.0,1,1.0,1.0,1,1,0,2,1757,127,1884,2.850941442000476,11.233512279999559,14.084453722000035,0,0,0,0,True,
env2::bring_my_book_to_the_sofa,bring my book to the sofa,env2,2,4,Short,HPAF-Full,1,1.0,1,1.0,1.0,2,1,0,3,2662,163,2825,4.585759816000063,2.859810787999777,7.44557060399984,1,1,0,0,True,
env2::put_milk_in_the_fridge,put milk in the fridge,env2,2,6,Medium,ProgPrompt,1,1.0,1,1.0,0.9166666666666666,1,8,0,9,4239,648,4887,5.475240304000181,34.94815294,40.42339324400018,0,0,0,0,,precondition_failure
env2::put_milk_in_the_fridge,put milk in the fridge,env2,2,6,Medium,HPAF-Flat,1,1.0,1,1.0,1.0,1,1,0,2,2109,164,2273,3.293827796000187,3.002481157999682,6.296308953999869,0,0,0,0,True,
env2::put_milk_in_the_fridge,put milk in the fridge,env2,2,6,Medium,HPAF-Full,1,1.0,1,1.0,1.0,2,1,0,3,3007,180,3187,6.968703070999254,9.393256110000038,16.361959180999293,1,1,0,0,True,
